FilePath,FolderTarget,SoVanBan,NamBanHanh,LoaiVanBan,DonViSoanThao,NguoiKy,NgayBanHanh,NgayHetHieuLuc,TrangThai,MucDoBaoMat,TrichYeu,VanBanThayThe,VanBanLienQuan,Tags
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/125.TB-SLĐTBXH-chấp thuận Thỏa ước LĐTT Công ty Bia Hạ Long.05.07.2024.pdf,[00] Văn Bản Điều Hành Chung,125,2024,Thông báo,Văn bản điều hành chung (cấp Công ty),,2024-07-05,,Đang lưu hành,Nội bộ,125.TB-SLĐTBXH-chấp thuận Thỏa ước LĐTT Công ty Bia Hạ Long.05.07.2024,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/126.TB-SLĐTBXH-Chấp thuận TƯLĐ Công ty Đông Mai.05.07.2024.pdf,[00] Văn Bản Điều Hành Chung,126,2024,Thông báo,Văn bản điều hành chung (cấp Công ty),,2024-07-05,,Đang lưu hành,Nội bộ,126.TB-SLĐTBXH-Chấp thuận TƯLĐ Công ty Đông Mai.05.07.2024,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/131.2026-TB-ĐM-Sử dụng phép tồn năm 2025.05.03.2026.pdf,[00] Văn Bản Điều Hành Chung,131,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-03-05,,Đang lưu hành,Nội bộ,131.2026-TB-ĐM-Sử dụng phép tồn năm 2025.05.03.2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/14.QĐ-BHL-Quy chế phối hợp hoạt động giữa BCHCĐ cơ sở và Ban Giám đốc Công ty.07.01.2025.pdf,[00] Văn Bản Điều Hành Chung,14,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-01-07,,Đang lưu hành,Nội bộ,14.QĐ-BHL-Quy chế phối hợp hoạt động giữa BCHCĐ cơ sở và Ban Giám đốc Công ty.07.01.2025,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/141.2026-TB-BHL-Thưởng cuối năm 2025 và phương pháp tính thưởng.28.01.2026.docx,[00] Văn Bản Điều Hành Chung,141,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-01-28,,Đang lưu hành,Nội bộ,141.2026-TB-BHL-Thưởng cuối năm 2025 và phương pháp tính thưởng.28.01.2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/141.2026-TB-BHL-Thưởng cuối năm 2025 và phương pháp tính thưởng.28.01.2026.pdf,[00] Văn Bản Điều Hành Chung,141,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-01-28,,Đang lưu hành,Nội bộ,141.2026-TB-BHL-Thưởng cuối năm 2025 và phương pháp tính thưởng.28.01.2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/148.2025.QĐ-HCNS-Quy tắc ứng xử ban hành.19.03.2025.docx,[00] Văn Bản Điều Hành Chung,148,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-03-19,,Đang lưu hành,Nội bộ,Quy tắc ứng xử ban hành,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/148.2025.QĐ-HCNS-Quy tắc ứng xử. 19.03.2025.pdf,[00] Văn Bản Điều Hành Chung,148,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-03-19,,Đang lưu hành,Nội bộ,Quy tắc ứng xử,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/148.2025.QĐ-HCNS-Quy tắc ứng xử.19.03.2025.pdf,[00] Văn Bản Điều Hành Chung,148,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-03-19,,Đang lưu hành,Nội bộ,Quy tắc ứng xử,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/160.2026-TB-BHL-Nghỉ sớm trước 1h làm việc đối với CBNV làm ca hành chính.31.01.2026.docx,[00] Văn Bản Điều Hành Chung,160,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-01-31,,Đang lưu hành,Nội bộ,160.2026-TB-BHL-Nghỉ sớm trước 1h làm việc đối với CBNV làm ca hành chính.31.01.2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/160.2026-TB-BHL-Nghỉ sớm trước 1h làm việc đối với CBNV làm ca hành chính.31.01.2026.pdf,[00] Văn Bản Điều Hành Chung,160,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-01-31,,Đang lưu hành,Nội bộ,160.2026-TB-BHL-Nghỉ sớm trước 1h làm việc đối với CBNV làm ca hành chính.31.01.2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/178.2026-QĐ-HCNS-Miễn nhiệm Giám đốc Công ty Đông Mai.18.03.2026.pdf,[00] Văn Bản Điều Hành Chung,178,2026,Quyết định,Văn bản điều hành chung (cấp Công ty),,2026-03-18,,Đang lưu hành,Nội bộ,Miễn nhiệm Giám đốc Công ty Đông Mai,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/179.2026-QĐ-HCNS-Bổ nhiệm Giám đốc Công ty Đông Mai.18.03.2026.docx,[00] Văn Bản Điều Hành Chung,179,2026,Quyết định,Văn bản điều hành chung (cấp Công ty),,2026-03-18,,Đang lưu hành,Nội bộ,Bổ nhiệm Giám đốc Công ty Đông Mai,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/179.2026-QĐ-HCNS-Bổ nhiệm Giám đốc Công ty Đông Mai.18.03.2026.pdf,[00] Văn Bản Điều Hành Chung,179,2026,Quyết định,Văn bản điều hành chung (cấp Công ty),,2026-03-18,,Đang lưu hành,Nội bộ,Bổ nhiệm Giám đốc Công ty Đông Mai,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/180.2026-TB-BHL-Nghỉ 2h làm việc đối với CBNV làm ca hành chính.10.02.2026.docx,[00] Văn Bản Điều Hành Chung,180,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-02-10,,Đang lưu hành,Nội bộ,180.2026-TB-BHL-Nghỉ 2h làm việc đối với CBNV làm ca hành chính.10.02.2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/180.2026-TB-BHL-Nghỉ 2h làm việc đối với CBNV làm ca hành chính.10.02.2026.pdf,[00] Văn Bản Điều Hành Chung,180,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-02-10,,Đang lưu hành,Nội bộ,180.2026-TB-BHL-Nghỉ 2h làm việc đối với CBNV làm ca hành chính.10.02.2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/191.2026-TB-HCNS-Nghiêm cấm hút thuốc lá không đúng nơi quy định.12.02.2026.doc,[00] Văn Bản Điều Hành Chung,191,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-02-12,,Đang lưu hành,Nội bộ,Nghiêm cấm hút thuốc lá không đúng nơi quy định,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/191.2026-TB-HCNS-Nghiêm cấm hút thuốc lá không đúng nơi quy định.12.02.2026.pdf,[00] Văn Bản Điều Hành Chung,191,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-02-12,,Đang lưu hành,Nội bộ,Nghiêm cấm hút thuốc lá không đúng nơi quy định,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/232.2026-TB-HCNS-Sử dụng phép tồn năm 2025.05.03.2026.pdf,[00] Văn Bản Điều Hành Chung,232,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-03-05,,Đang lưu hành,Nội bộ,Sử dụng phép tồn năm 2025,,,
"data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/235.ĐM-2026-TB-HCNS-Nghỉ Lễ giỗ tổ Hùng Vương , ngày Chiến thắng 30-4 và Quốc tế lao động 01-5 năm 2026 .11.04.2026.docx",[00] Văn Bản Điều Hành Chung,235,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-04-11,,Đang lưu hành,Nội bộ,"Nghỉ Lễ giỗ tổ Hùng Vương , ngày Chiến thắng 30-4 và Quốc tế lao động 01-5 năm 2026",,,
"data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/235.ĐM-2026-TB-HCNS-Nghỉ Lễ giỗ tổ Hùng Vương , ngày Chiến thắng 30-4 và Quốc tế lao động 01-5 năm 2026 .11.04.2026.pdf",[00] Văn Bản Điều Hành Chung,235,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-04-11,,Đang lưu hành,Nội bộ,"Nghỉ Lễ giỗ tổ Hùng Vương , ngày Chiến thắng 30-4 và Quốc tế lao động 01-5 năm 2026",,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/247.QĐ-ĐM-Nội quy lao động Công ty Đông Mai.03.07.2024.doc,[00] Văn Bản Điều Hành Chung,247,2024,Quyết định,Văn bản điều hành chung (cấp Công ty),,2024-07-03,,Đang lưu hành,Nội bộ,247.QĐ-ĐM-Nội quy lao động Công ty Đông Mai.03.07.2024,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/247.QĐ-ĐM-Nội quy lao động Công ty Đông Mai.03.07.2024.pdf,[00] Văn Bản Điều Hành Chung,247,2024,Quyết định,Văn bản điều hành chung (cấp Công ty),,2024-07-03,,Đang lưu hành,Nội bộ,247.QĐ-ĐM-Nội quy lao động Công ty Đông Mai.03.07.2024,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/258.QĐ-ĐM-TƯTT công ty Đông Mai.21.06.2024.pdf,[00] Văn Bản Điều Hành Chung,258,2024,Quyết định,Văn bản điều hành chung (cấp Công ty),,2024-06-21,,Đang lưu hành,Nội bộ,258.QĐ-ĐM-TƯTT công ty Đông Mai.21.06.2024,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/265.QĐ-ĐM-Quy chế dân chủ cơ sở Công ty Đông Mai.21.06.2024.pdf,[00] Văn Bản Điều Hành Chung,265,2024,Quyết định,Văn bản điều hành chung (cấp Công ty),,2024-06-21,,Đang lưu hành,Nội bộ,265.QĐ-ĐM-Quy chế dân chủ cơ sở Công ty Đông Mai.21.06.2024,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/267.QĐ-HCNS-Quy chế quản lý rủi ro.08.05.2025.docx,[00] Văn Bản Điều Hành Chung,267,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-05-08,,Đang lưu hành,Nội bộ,Quy chế quản lý rủi ro,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/267.QĐ-HCNS-Quy chế quản lý rủi ro.08.05.2025.pdf,[00] Văn Bản Điều Hành Chung,267,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-05-08,,Đang lưu hành,Nội bộ,Quy chế quản lý rủi ro,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/303.2026-GUQ-BHL-Giấy ủy quyền của TGĐ-Giám đốc Kinh doanh.30.03.2026.pdf,[00] Văn Bản Điều Hành Chung,303,2026,Giấy ủy quyền,Văn bản điều hành chung (cấp Công ty),,2026-03-30,,Đang lưu hành,Nội bộ,303.2026-GUQ-BHL-Giấy ủy quyền của TGĐ-Giám đốc Kinh doanh.30.03.2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/32.2025.QĐ-BHL-Thưởng quà Tết cho CBNV.17.01.2025.pdf,[00] Văn Bản Điều Hành Chung,32,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-01-17,,Đang lưu hành,Nội bộ,32.2025.QĐ-BHL-Thưởng quà Tết cho CBNV.17.01.2025,,,
"data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/354.2026-TB-HCNS-Nghỉ Lễ giỗ tổ Hùng Vương , ngày Chiến thắng 30-4 và Quốc tế lao động 01-5 năm 2026.11.04.2026.pdf",[00] Văn Bản Điều Hành Chung,354,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-04-11,,Đang lưu hành,Nội bộ,"Nghỉ Lễ giỗ tổ Hùng Vương , ngày Chiến thắng 30-4 và Quốc tế lao động 01-5 năm 2026",,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/361.TB-SLĐTBXH v.v chấp thuận Nội quy lao động Công ty Đông Mai.12.07.2026.pdf,[00] Văn Bản Điều Hành Chung,361,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-07-12,,Đang lưu hành,Nội bộ,361.TB-SLĐTBXH v.v chấp thuận Nội quy lao động Công ty Đông Mai.12.07.2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/362.TB-SLĐTBXH V.V chấp thuận Nội quy lao động Công ty Bia Hạ Long.12.07.2024.pdf,[00] Văn Bản Điều Hành Chung,362,2024,Thông báo,Văn bản điều hành chung (cấp Công ty),,2024-07-12,,Đang lưu hành,Nội bộ,362.TB-SLĐTBXH V.V chấp thuận Nội quy lao động Công ty Bia Hạ Long.12.07.2024,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/412.2025.TB-KT-Thông báo thanh toán theo Nghị định số 181-2025-NĐ-CP.08.07.2025.pdf,[00] Văn Bản Điều Hành Chung,412,2025,Thông báo,Văn bản điều hành chung (cấp Công ty),,2025-07-08,,Đang lưu hành,Nội bộ,Thông báo thanh toán theo Nghị định số 181-2025-NĐ-CP,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/417.QĐ-HCNS-Ban hành quy định quản lý văn bản phát hành ra ngoài.10.07.2025.docx,[00] Văn Bản Điều Hành Chung,417,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-07-10,,Đang lưu hành,Nội bộ,Ban hành quy định quản lý văn bản phát hành ra ngoài,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/417.QĐ-HCNS-Ban hành quy định quản lý văn bản phát hành ra ngoài.10.07.2025.pdf,[00] Văn Bản Điều Hành Chung,417,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-07-10,,Đang lưu hành,Nội bộ,Ban hành quy định quản lý văn bản phát hành ra ngoài,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/418.2026-GUQ-HLB-Giấy ủy quyền của TGĐ cho GĐTC&QT.24.04.2026.docx,[00] Văn Bản Điều Hành Chung,418,2026,Giấy ủy quyền,Văn bản điều hành chung (cấp Công ty),,2026-04-24,,Đang lưu hành,Nội bộ,418.2026-GUQ-HLB-Giấy ủy quyền của TGĐ cho GĐTC&QT.24.04.2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/418.2026-GUQ-HLB-Giấy ủy quyền của TGĐ cho GĐTC&QT.24.04.2026.pdf,[00] Văn Bản Điều Hành Chung,418,2026,Giấy ủy quyền,Văn bản điều hành chung (cấp Công ty),,2026-04-24,,Đang lưu hành,Nội bộ,418.2026-GUQ-HLB-Giấy ủy quyền của TGĐ cho GĐTC&QT.24.04.2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/423.QĐ-HCNS-Quy chế tài chính.11.07.2025.docx,[00] Văn Bản Điều Hành Chung,423,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-07-11,,Đang lưu hành,Nội bộ,Quy chế tài chính,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/423.QĐ-HCNS-Quy chế tài chính.11.07.2025.pdf,[00] Văn Bản Điều Hành Chung,423,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-07-11,,Đang lưu hành,Nội bộ,Quy chế tài chính,,,
"data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/428.QĐ-HLB-Quy định về quản lý, lưu trữ, bảo mật tài liệu của công ty.10.05.2024.pdf",[00] Văn Bản Điều Hành Chung,428,2024,Quyết định,Văn bản điều hành chung (cấp Công ty),,2024-05-10,,Đang lưu hành,Nội bộ,"428.QĐ-HLB-Quy định về quản lý, lưu trữ, bảo mật tài liệu của công ty.10.05.2024",,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/429.2025.TB-HCNS-nghỉ Tết dương lịch 01-01-2026-Đông Mai.15.12.2025.docx,[00] Văn Bản Điều Hành Chung,429,2025,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-01-01,,Đang lưu hành,Nội bộ,nghỉ Tết dương lịch,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/429.2025.TB-HCNS-nghỉ Tết dương lịch 01-01-2026-Đông Mai.15.12.2025.pdf,[00] Văn Bản Điều Hành Chung,429,2025,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-01-01,,Đang lưu hành,Nội bộ,nghỉ Tết dương lịch,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/451. QĐ-HL-Bổ nhiệm Giám đốc vận hành và Chuỗi cung ứng.25-7-2025.pdf,[00] Văn Bản Điều Hành Chung,451,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-07-25,,Đang lưu hành,Nội bộ,451. QĐ-HL-Bổ nhiệm Giám đốc vận hành và Chuỗi cung ứng.25-7-2025,,,
"data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/452. QĐ-HLB-Quyết định Vv Miễn nhiệm chức danh Giám đốc tài chính , Giám đốc vận hành.25.07.2025.pdf",[00] Văn Bản Điều Hành Chung,452,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-07-25,,Đang lưu hành,Nội bộ,"452. QĐ-HLB-Quyết định Vv Miễn nhiệm chức danh Giám đốc tài chính , Giám đốc vận hành.25.07.2025",,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/453.QĐ-HLB-Bổ nhiệm Giám đốc Tài chính và Quản trị.25.07.2025.pdf,[00] Văn Bản Điều Hành Chung,453,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-07-25,,Đang lưu hành,Nội bộ,453.QĐ-HLB-Bổ nhiệm Giám đốc Tài chính và Quản trị.25.07.2025,,,
"data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/462.2026-QĐ-HCNS-thành lập tổ thanh lý tài sản , công cụ dụng cụ năm 2026.09.05.2026.pdf",[00] Văn Bản Điều Hành Chung,462,2026,Quyết định,Văn bản điều hành chung (cấp Công ty),,2026-05-09,,Đang lưu hành,Nội bộ,"thành lập tổ thanh lý tài sản , công cụ dụng cụ năm 2026",,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/475.QĐ-NS-Thành lập tổ triển khai thực hiện dự án Microsoft.01.06.2024.pdf,[00] Văn Bản Điều Hành Chung,475,2024,Quyết định,Văn bản điều hành chung (cấp Công ty),,2024-06-01,,Đang lưu hành,Nội bộ,475.QĐ-NS-Thành lập tổ triển khai thực hiện dự án Microsoft.01.06.2024,,,
"data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/480.2026-TB-HCNS-Nộp giấy chứng nhận , giấy khen , bằng khen đạt giải các môn thi cấp Tỉnh , Quốc gia của con CBNV.15.05.2026.pdf",[00] Văn Bản Điều Hành Chung,480,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-05-15,,Đang lưu hành,Nội bộ,"Nộp giấy chứng nhận , giấy khen , bằng khen đạt giải các môn thi cấp Tỉnh , Quốc gia của con CBNV",,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/480.QĐ-BHL-ban hành quy chế DCCS.20.06.2024.pdf,[00] Văn Bản Điều Hành Chung,480,2024,Quyết định,Văn bản điều hành chung (cấp Công ty),,2024-06-20,,Đang lưu hành,Nội bộ,480.QĐ-BHL-ban hành quy chế DCCS.20.06.2024,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/484.2026-QĐ-HCNS Vv-Sơ đồ tổ chức Công ty cổ phần Bia và Nước giải khát Hạ Long .15-05-2026.pdf,[00] Văn Bản Điều Hành Chung,484,2026,Quyết định,Văn bản điều hành chung (cấp Công ty),,2026-05-15,,Đang lưu hành,Nội bộ,Vv-Sơ đồ tổ chức Công ty cổ phần Bia và Nước giải khát Hạ Long,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/484.2026.QĐ-HCNS-Sơ đồ tổ chức Công ty cổ phần Bia và Nước giải khát Hạ Long.15.05.2026.docx,[00] Văn Bản Điều Hành Chung,484,2026,Quyết định,Văn bản điều hành chung (cấp Công ty),,2026-05-15,,Đang lưu hành,Nội bộ,Sơ đồ tổ chức Công ty cổ phần Bia và Nước giải khát Hạ Long,,,
"data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/487.QĐ-BHL thay đổi thành viên Ban tái cấu trúc, gia hạn giai đoạn 1-Dự án tái cấu trúc.06-08-2025.pdf",[00] Văn Bản Điều Hành Chung,487,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-08-06,,Đang lưu hành,Nội bộ,"487.QĐ-BHL thay đổi thành viên Ban tái cấu trúc, gia hạn giai đoạn 1-Dự án tái cấu trúc.06-08-2025",,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/513.QĐ-HCNS-Bổ nhiệm Trợ lý Ban điều hành kiêm phó ban tài chính và kiểm soát nội bộ.21.08.2025.pdf,[00] Văn Bản Điều Hành Chung,513,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-08-21,,Đang lưu hành,Nội bộ,Bổ nhiệm Trợ lý Ban điều hành kiêm phó ban tài chính và kiểm soát nội bộ,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/526.QĐ-HCNS-Bổ nhiệm Kế toán trưởng - Trưởng phòng kế toán.26.08.2025.pdf,[00] Văn Bản Điều Hành Chung,526,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-08-26,,Đang lưu hành,Nội bộ,Bổ nhiệm Kế toán trưởng - Trưởng phòng kế toán,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/531.2026.QĐ-BHL-Thành lập Ban tái cấu trúc Công ty Giai đoạn 2.22-05-2026.docx,[00] Văn Bản Điều Hành Chung,531,2026,Quyết định,Văn bản điều hành chung (cấp Công ty),,2026-05-22,,Đang lưu hành,Nội bộ,531.2026.QĐ-BHL-Thành lập Ban tái cấu trúc Công ty Giai đoạn 2.22-05-2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/531.2026.QĐ-BHL-Thành lập Ban tái cấu trúc Công ty Giai đoạn 2.22-05-2026.pdf,[00] Văn Bản Điều Hành Chung,531,2026,Quyết định,Văn bản điều hành chung (cấp Công ty),,2026-05-22,,Đang lưu hành,Nội bộ,531.2026.QĐ-BHL-Thành lập Ban tái cấu trúc Công ty Giai đoạn 2.22-05-2026,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/532.2026-TB-HCNS-Sử dụng phần mềm có bản quyền.22.05.2026.pdf,[00] Văn Bản Điều Hành Chung,532,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-05-22,,Đang lưu hành,Nội bộ,Sử dụng phần mềm có bản quyền,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/533.QĐ-HCNS-Kiêm nhiệm chức danh.26.08.2025.pdf,[00] Văn Bản Điều Hành Chung,533,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-08-26,,Đang lưu hành,Nội bộ,Kiêm nhiệm chức danh,,,
