FilePath,FolderTarget,OriginalFileName,UploadFileName,SoVanBan,NamBanHanh,NgayBanHanh,NgayHetHieuLuc,NguoiKy,TrangThai,MucDoBaoMat,TrichYeu,VanBanThayThe,VanBanLienQuan,Tags,NhomTaiLieu,LoaiVanBanPhapLy,LoaiTaiLieu,ChuDeNghiepVu,DonViPhatHanh,DonViSoHuu,NguonMetadata,MetadataConfidence,HasEditableSource,EditableSourceUrl,PrimaryPdfUrl,NeedReview,DuplicateRole,ResolveNote
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/2026.ĐL-DMB-Điều lệ Công ty Đông Mai.25-04-2026.pdf,[00] Văn Bản Điều Hành Chung,2026.ĐL-DMB-Điều lệ Công ty Đông Mai.25-04-2026.pdf,2026.ĐL-DMB-Điều lệ Công ty Đông Mai.25-04-2026.pdf,,2026,2026-04-25,,,Hiệu lực,,Điều lệ Công ty Đông Mai,,,,Chính sách – Định hướng,Khác,Điều lệ,Công ty Đông Mai,DMB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/2026.ĐL-HLB-Điều lệ Công ty Bia Hạ Long.24-04-2026.docx,[00] Văn Bản Điều Hành Chung,2026.ĐL-HLB-Điều lệ Công ty Bia Hạ Long.24-04-2026.docx,2026.ĐL-HLB-Điều lệ Công ty Bia Hạ Long.24-04-2026.docx,,2026,2026-04-24,,,Hiệu lực,,Điều lệ Công ty Bia Hạ Long,,,,Chính sách – Định hướng,Khác,Điều lệ,Công ty Bia Hạ Long,HLB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/2026.ĐL-HLB-Điều lệ Công ty Bia Hạ Long.24-04-2026.pdf,[00] Văn Bản Điều Hành Chung,2026.ĐL-HLB-Điều lệ Công ty Bia Hạ Long.24-04-2026.pdf,2026.ĐL-HLB-Điều lệ Công ty Bia Hạ Long.24-04-2026.pdf,,2026,2026-04-24,,,Hiệu lực,,Điều lệ Công ty Bia Hạ Long,,,,Chính sách – Định hướng,Khác,Điều lệ,Công ty Bia Hạ Long,HLB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/225.2025.NQ-HĐQT-Thu hồi Cổ phiếu của CBNV nghỉ việc.15-04-2025.pdf,[00] Văn Bản Điều Hành Chung,225.2025.NQ-HĐQT-Thu hồi Cổ phiếu của CBNV nghỉ việc.15-04-2025.pdf,225.2025.NQ-HĐQT-Thu hồi Cổ phiếu của CBNV nghỉ việc.15-04-2025.pdf,225,2025,2025-04-15,,,Hiệu lực,,Thu hồi Cổ phiếu của CBNV nghỉ việc,,,,Chính sách – Định hướng,Nghị quyết,,Thu hồi Cổ phiếu của CBNV nghỉ việc,HĐQT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2024.HD-HCNS-Hướng dẫn Thể thức kỹ thuật trình bày văn bản.01-12-2024.docx,[00] Văn Bản Điều Hành Chung,01.2024.HD-HCNS-Hướng dẫn Thể thức kỹ thuật trình bày văn bản.01-12-2024.docx,01.2024.HD-HCNS-Hướng dẫn Thể thức kỹ thuật trình bày văn bản.01-12-2024.docx,01,2024,2024-12-01,,,Hiệu lực,,Hướng dẫn Thể thức kỹ thuật trình bày văn bản,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Hướng dẫn,Thể thức kỹ thuật trình bày văn bản,HCNS,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2024.HD-HCNS-Hướng dẫn Thể thức kỹ thuật trình bày văn bản.01-12-2024.pdf,[00] Văn Bản Điều Hành Chung,01.2024.HD-HCNS-Hướng dẫn Thể thức kỹ thuật trình bày văn bản.01-12-2024.pdf,01.2024.HD-HCNS-Hướng dẫn Thể thức kỹ thuật trình bày văn bản.01-12-2024.pdf,01,2024,2024-12-01,,,Hiệu lực,,Hướng dẫn Thể thức kỹ thuật trình bày văn bản,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Hướng dẫn,Thể thức kỹ thuật trình bày văn bản,HCNS,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2024.QC-DMB-Quy chế dân chủ cơ sở công ty Đông Mai.docx,[00] Văn Bản Điều Hành Chung,01.2024.QC-DMB-Quy chế dân chủ cơ sở công ty Đông Mai.docx,01.2024.QC-DMB-Quy chế dân chủ cơ sở công ty Đông Mai.docx,01,2024,,,,Hiệu lực,,Quy chế dân chủ cơ sở công ty Đông Mai,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,dân chủ cơ sở công ty Đông Mai,DMB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2024.QC-DMB-Quy chế dân chủ cơ sở công ty Đông Mai.pdf,[00] Văn Bản Điều Hành Chung,01.2024.QC-DMB-Quy chế dân chủ cơ sở công ty Đông Mai.pdf,01.2024.QC-DMB-Quy chế dân chủ cơ sở công ty Đông Mai.pdf,01,2024,,,,Hiệu lực,,Quy chế dân chủ cơ sở công ty Đông Mai,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,dân chủ cơ sở công ty Đông Mai,DMB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2024.QC-HLB-Quy chế dân chủ cơ sở Công ty Hạ Long.pdf,[00] Văn Bản Điều Hành Chung,01.2024.QC-HLB-Quy chế dân chủ cơ sở Công ty Hạ Long.pdf,01.2024.QC-HLB-Quy chế dân chủ cơ sở Công ty Hạ Long.pdf,01,2024,,,,Hiệu lực,,Quy chế dân chủ cơ sở Công ty Hạ Long,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,dân chủ cơ sở Công ty Hạ Long,HLB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2024.QC-HLB-Quy chế dân chủ cơ sở công ty Hạ Long.docx,[00] Văn Bản Điều Hành Chung,01.2024.QC-HLB-Quy chế dân chủ cơ sở công ty Hạ Long.docx,01.2024.QC-HLB-Quy chế dân chủ cơ sở công ty Hạ Long.docx,01,2024,,,,Hiệu lực,,Quy chế dân chủ cơ sở công ty Hạ Long,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,dân chủ cơ sở công ty Hạ Long,HLB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2024.QyĐ-BTCT-Quy định quản lý văn bản v5_05.11.01-09-2025.docx,[00] Văn Bản Điều Hành Chung,01.2024.QyĐ-BTCT-Quy định quản lý văn bản v5_05.11.01-09-2025.docx,01.2024.QyĐ-BTCT-Quy định quản lý văn bản v5_05.11.01-09-2025.docx,01,2024,2025-09-01,,,Hiệu lực,,Quy định quản lý văn bản v5_05.11,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy định,quản lý văn bản v5_05.11,BTCT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2024.QyĐ-BTCT-Quy định quản lý văn bản-v2.29-08-2025.docx,[00] Văn Bản Điều Hành Chung,01.2024.QyĐ-BTCT-Quy định quản lý văn bản-v2.29-08-2025.docx,01.2024.QyĐ-BTCT-Quy định quản lý văn bản-v2.29-08-2025.docx,01,2024,2025-08-29,,,Hiệu lực,,Quy định quản lý văn bản-v2,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy định,quản lý văn bản-v2,BTCT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2024.QyĐ-BTCT-Quy định quản lý văn bản-v2.29-08-2025.pdf,[00] Văn Bản Điều Hành Chung,01.2024.QyĐ-BTCT-Quy định quản lý văn bản-v2.29-08-2025.pdf,01.2024.QyĐ-BTCT-Quy định quản lý văn bản-v2.29-08-2025.pdf,01,2024,2025-08-29,,,Hiệu lực,,Quy định quản lý văn bản-v2,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy định,quản lý văn bản-v2,BTCT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,Bản chuẩn,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2024.QyĐ-BTCT-Quy định quản lý văn bản.29-08-2025.docx,[00] Văn Bản Điều Hành Chung,01.2024.QyĐ-BTCT-Quy định quản lý văn bản.29-08-2025.docx,01.2024.QyĐ-BTCT-Quy định quản lý văn bản.29-08-2025.docx,01,2024,2025-08-29,,,Hiệu lực,,Quy định quản lý văn bản,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy định,quản lý văn bản,BTCT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2024.QyĐ-BTCT-Quy định quản lý văn bản.29-08-2025.pdf,[00] Văn Bản Điều Hành Chung,01.2024.QyĐ-BTCT-Quy định quản lý văn bản.29-08-2025.pdf,01.2024.QyĐ-BTCT-Quy định quản lý văn bản.29-08-2025.pdf,01,2024,2025-08-29,,,Hiệu lực,,Quy định quản lý văn bản,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy định,quản lý văn bản,BTCT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,Bản sao,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.HD-HCNS-Hướng dẫn lưu trữ văn bản trên sharepoint-v2.11-08-2025.pdf,[00] Văn Bản Điều Hành Chung,01.2025.HD-HCNS-Hướng dẫn lưu trữ văn bản trên sharepoint-v2.11-08-2025.pdf,01.2025.HD-HCNS-Hướng dẫn lưu trữ văn bản trên sharepoint-v2.11-08-2025.pdf,01,2025,2025-08-11,,,Hiệu lực,,Hướng dẫn lưu trữ văn bản trên sharepoint-v2,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Hướng dẫn,lưu trữ văn bản trên sharepoint-v2,HCNS,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,Bản chuẩn,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.HD-HCNS-Hướng dẫn lưu trữ văn bản trên sharepoint.11-08-2025.docx,[00] Văn Bản Điều Hành Chung,01.2025.HD-HCNS-Hướng dẫn lưu trữ văn bản trên sharepoint.11-08-2025.docx,01.2025.HD-HCNS-Hướng dẫn lưu trữ văn bản trên sharepoint.11-08-2025.docx,01,2025,2025-08-11,,,Hiệu lực,,Hướng dẫn lưu trữ văn bản trên sharepoint,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Hướng dẫn,lưu trữ văn bản trên sharepoint,HCNS,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.HD-HCNS-Hướng dẫn lưu trữ văn bản trên sharepoint.11-08-2025.pdf,[00] Văn Bản Điều Hành Chung,01.2025.HD-HCNS-Hướng dẫn lưu trữ văn bản trên sharepoint.11-08-2025.pdf,01.2025.HD-HCNS-Hướng dẫn lưu trữ văn bản trên sharepoint.11-08-2025.pdf,01,2025,2025-08-11,,,Hiệu lực,,Hướng dẫn lưu trữ văn bản trên sharepoint,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Hướng dẫn,lưu trữ văn bản trên sharepoint,HCNS,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,Bản sao,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.QC-BKS-Quy chế hoạt động của Ban kiểm soát.25-04-2025.doc,[00] Văn Bản Điều Hành Chung,01.2025.QC-BKS-Quy chế hoạt động của Ban kiểm soát.25-04-2025.doc,01.2025.QC-BKS-Quy chế hoạt động của Ban kiểm soát.25-04-2025.doc,01,2025,2025-04-25,,,Hiệu lực,,Quy chế hoạt động của Ban kiểm soát,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,hoạt động của Ban kiểm soát,BKS,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.QC-BKS-Quy chế hoạt động của Ban kiểm soát.25-04-2025.pdf,[00] Văn Bản Điều Hành Chung,01.2025.QC-BKS-Quy chế hoạt động của Ban kiểm soát.25-04-2025.pdf,01.2025.QC-BKS-Quy chế hoạt động của Ban kiểm soát.25-04-2025.pdf,01,2025,2025-04-25,,,Hiệu lực,,Quy chế hoạt động của Ban kiểm soát,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,hoạt động của Ban kiểm soát,BKS,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.QC-BSH-Quy chế công nghệ thông tin.10-03-2025.docx,[00] Văn Bản Điều Hành Chung,01.2025.QC-BSH-Quy chế công nghệ thông tin.10-03-2025.docx,01.2025.QC-BSH-Quy chế công nghệ thông tin.10-03-2025.docx,01,2025,2025-03-10,,,Hiệu lực,,Quy chế công nghệ thông tin,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,công nghệ thông tin,BSH,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.QC-BSH-Quy chế công nghệ thông tin.10-03-2025.pdf,[00] Văn Bản Điều Hành Chung,01.2025.QC-BSH-Quy chế công nghệ thông tin.10-03-2025.pdf,01.2025.QC-BSH-Quy chế công nghệ thông tin.10-03-2025.pdf,01,2025,2025-03-10,,,Hiệu lực,,Quy chế công nghệ thông tin,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,công nghệ thông tin,BSH,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.QC-DMB-Quy chế trả lương Đông Mai.31-12-2024.docx,[00] Văn Bản Điều Hành Chung,01.2025.QC-DMB-Quy chế trả lương Đông Mai.31-12-2024.docx,01.2025.QC-DMB-Quy chế trả lương Đông Mai.31-12-2024.docx,01,2025,2024-12-31,,,Hiệu lực,,Quy chế trả lương Đông Mai,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,trả lương Đông Mai,DMB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.QC-DMB-Quy chế trả lương Đông Mai.31-12-2024.pdf,[00] Văn Bản Điều Hành Chung,01.2025.QC-DMB-Quy chế trả lương Đông Mai.31-12-2024.pdf,01.2025.QC-DMB-Quy chế trả lương Đông Mai.31-12-2024.pdf,01,2025,2024-12-31,,,Hiệu lực,,Quy chế trả lương Đông Mai,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,trả lương Đông Mai,DMB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.QC-HCNS-Quy chế trả lương Công ty Hạ Long.24-12-2024.docx,[00] Văn Bản Điều Hành Chung,01.2025.QC-HCNS-Quy chế trả lương Công ty Hạ Long.24-12-2024.docx,01.2025.QC-HCNS-Quy chế trả lương Công ty Hạ Long.24-12-2024.docx,01,2025,2024-12-24,,,Hiệu lực,,Quy chế trả lương Công ty Hạ Long,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,trả lương Công ty Hạ Long,HCNS,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.QC-HCNS-Quy chế trả lương Công ty Hạ Long.24-12-2024.pdf,[00] Văn Bản Điều Hành Chung,01.2025.QC-HCNS-Quy chế trả lương Công ty Hạ Long.24-12-2024.pdf,01.2025.QC-HCNS-Quy chế trả lương Công ty Hạ Long.24-12-2024.pdf,01,2025,2024-12-24,,,Hiệu lực,,Quy chế trả lương Công ty Hạ Long,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,trả lương Công ty Hạ Long,HCNS,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/02. Quy chế – Quy định – Quy trình – Hướng dẫn/01.2025.QC-HĐQT-Quy chế hoạt động của HĐQT.25-04-2025.docx,[00] Văn Bản Điều Hành Chung,01.2025.QC-HĐQT-Quy chế hoạt động của HĐQT.25-04-2025.docx,01.2025.QC-HĐQT-Quy chế hoạt động của HĐQT.25-04-2025.docx,01,2025,2025-04-25,,,Hiệu lực,,Quy chế hoạt động của HĐQT,,,,Quy chế – Quy định – Quy trình – Hướng dẫn,Khác,Quy chế,hoạt động của HĐQT,HĐQT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
